Lat_M,Lon_M,Date_M,Time_M,LAYER,TRANSECT,FishDensity,Targets_Binned,BottomDepth,N_YAOSized,YAO_FishDens,Stratum,ScaleDensity
42.47560394,-79.97708465,###############################################################################################################################################################################################################################################################,8:51:36,LO,T22A,1126.467935,308,51.275399,196,716.8432313,2.2,-150.9953635
42.47563798,-80.30385155,###############################################################################################################################################################################################################################################################,2:18:50,LO,T1A,704.3681634,60,24.323956,40,469.5787756,1,-200.4482546
42.47833333,-80.1315,###############################################################################################################################################################################################################################################################,5:05:23,LO,T1B,941.0812609,110,49.733011,40,342.2113676,1,-225.9217362
42.47833333,-80.1315,###############################################################################################################################################################################################################################################################,5:05:23,LO,T1B,941.0812609,110,49.733011,40,342.2113676,1,-225.9217362
42.48038237,-79.63441634,###############################################################################################################################################################################################################################################################,5:21:31,LO,T22B,298.815556,94,42.665114,2,6.357777788,2.2,-293.0924542
42.4825563,-79.97960976,###############################################################################################################################################################################################################################################################,8:56:15,LO,T22A,1023.420474,304,62.083177,120,403.9817662,2.2,-213.5676565
42.48535393,-80.13295,###############################################################################################################################################################################################################################################################,5:09:52,LO,T1B,2876.578329,247,48.576351,176,2049.707635,1,115.5775173
42.48535393,-80.13295,###############################################################################################################################################################################################################################################################,5:09:52,LO,T1B,2876.578329,247,48.576351,176,2049.707635,1,115.5775173
42.48738931,-79.63640755,###############################################################################################################################################################################################################################################################,5:17:02,LO,T22B,561.4111617,106,42.746845,5,26.48165857,2.2,-289.067678
42.48949057,-79.98208019,###############################################################################################################################################################################################################################################################,9:00:53,LO,T22A,329.2742517,209,61.572158,93,146.5191646,2.2,-265.0601768
42.49245,-80.1344,###############################################################################################################################################################################################################################################################,5:14:23,LO,T1B,4633.70039,377,47.35477,306,3761.040635,1,457.8441172
42.49245,-80.1344,###############################################################################################################################################################################################################################################################,5:14:23,LO,T1B,4633.70039,377,47.35477,306,3761.040635,1,457.8441172
42.49439902,-79.63846078,###############################################################################################################################################################################################################################################################,5:12:34,LO,T22B,530.881197,81,42.41572,2,13.1081777,2.2,-291.7423742
42.49586667,-79.41571667,###############################################################################################################################################################################################################################################################,6:28:25,LO,T3A,68.34131357,6,19.181092,5,56.95109464,3,-282.9737908
42.49646054,-79.9844924,###############################################################################################################################################################################################################################################################,9:05:28,LO,T22A,359.2776052,115,60.102762,43,134.3385828,2.2,-267.4962932
42.49951637,-80.13572212,###############################################################################################################################################################################################################################################################,5:18:48,LO,T1B,6471.968011,460,44.005672,390,5487.103314,1,803.056653
42.49951637,-80.13572212,###############################################################################################################################################################################################################################################################,5:18:48,LO,T1B,6471.968011,460,44.005672,390,5487.103314,1,803.056653
42.50137486,-79.64066872,###############################################################################################################################################################################################################################################################,5:08:06,LO,T22B,213.2358957,80,42.405481,3,7.996346089,2.2,-292.7647405
42.50288478,-79.41760097,###############################################################################################################################################################################################################################################################,6:32:49,LO,T3A,259.112252,38,21.245561,21,143.1936129,3,-265.7252871
